2016-12-15 12:39:55.080 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:55.797 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:55.798 -0700	Log		that took 0.717121 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:56.512 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:57.228 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:39:57.942 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:39:57.944 -0700	Log		that took 0.714958 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:39:58.658 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:39:59.373 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:00.088 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:00.089 -0700	Log		that took 0.71516 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:00.803 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:01.514 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:02.228 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:02.228 -0700	Log		that took 0.713298 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:02.941 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:03.655 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:04.371 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:04.372 -0700	Log		that took 0.716031 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:05.089 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:05.807 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:06.524 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:06.525 -0700	Log		that took 0.717162 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:07.237 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:07.952 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:08.668 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:08.669 -0700	Log		that took 0.716573 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:09.380 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:10.097 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:10.811 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:10.812 -0700	Log		that took 0.714588 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:11.525 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:12.240 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:12.955 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:12.956 -0700	Log		that took 0.714728 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:13.669 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:14.386 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:15.098 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:15.099 -0700	Log		that took 0.712885 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:15.813 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:16.529 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:17.243 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:40:17.244 -0700	Log		that took 0.714 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:40:17.957 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:40:18.673 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:40:19.360 -0700	EndTestCase		(Duration:"107.70996", Errors:"0", Exceptions:"0", StartTime:"2016-12-15 12:38:31 -0700", Successes:"1", TestCase:"Untitled5.script", Warnings:"0")
2016-12-15 12:40:19.375 -0700	SUCCESS		Execution Time 0:01:47 Untitled5.script
